Name,Set,Market $,Prices,Qty,TCG ID,Location,Date,
Janine's Secret Art 173/131 SIR PRE,Prismatic Evolutions,$25.73,"NM $25.85 (last sold 25.90, 26.21, 28.70) · LP $25.51 (last sold 25.00, 25.99, 25.54) · eBay $21.20 (last sold 20.00, 24.50, 19.99)",1,"610,528",,2026-05-12,
Team Rocket's Crobat ex 242/182 HR DRI,Destined Rivals,$18.57,"NM $18.75 (last sold 16.71, 25.67, 16.51) · LP $16.06 (last sold 16.06) · eBay $18.39 (last sold 18.00, 19.99, 19.99)",1,"633,042",,2026-05-12,
Pidgeot ex 225/197 SIR OBF,Obsidian Flames,$20.88,"NM $20.12 (last sold 24.97, 19.09, 20.68) · LP $19.62 (last sold 20.00, 16.99, 26.40) · MP $14.74 (last sold 14.74) · eBay $18.85 (last sold 18.99, 16.00, 17.99)",1,"509,983",,2026-05-12,
Nidoking 174/165 Illustration Rare  MEW,Scarlet & Violet 151,$25.16,"NM $25.12 (last sold 48.68, 22.00, 22.12) · LP $18.31 (last sold 20.00, 20.25, 14.00) · eBay $17.49 (last sold 5.99, 25.99, 17.99)",1,"517,029",,2026-05-12,
Caterpie 172/165 IR MEW,Scarlet & Violet 151,$18.41,"NM $18.43 (last sold 18.56, 23.00, 22.99) · LP $17.86 (last sold 18.45, 16.85, 18.28) · eBay $14.30 (last sold 15.99, 14.50, 12.00)",1,"517,016",,2026-05-12,
Team Rocket's Ariana 237/182 SIR DRI,Destined Rivals,$26.40,"NM $29.11 (last sold 31.93, 30.56, 29.25) · LP $28.04 (last sold 28.04) · eBay $32.40 (last sold 23.50, 19.99, 65.00)",5,"633,037",,2026-05-12,
Boss's Orders 189/192 FA RCL,Rebel Clash,$66.57,"NM $66.62 (last sold 68.48, 65.00, 64.99) · LP $56.44 (last sold 67.10, 54.83, 54.61) · MP $52.00 (last sold 52.00) · eBay $21.81 (last sold 2.96, 19.99, 30.00)",1,"213,256",,2026-05-12,
Marill 204/193 IR PAL,Paldea Evolved,$41.79,"NM $55.69 (last sold 54.73, 55.00, 57.50) · LP $48.73 (last sold 52.86, 48.00, 49.99) · MP $38.48 (last sold 37.95, 39.00) · eBay $41.78 (last sold 31.81, 50.00, 47.12)",1,"497,607",,2026-05-12,
Ceruledge 197/191 IR SSP,Surging Sparks,$21.33,"NM $20.42 (last sold 27.49, 18.99, 18.04) · LP $19.36 (last sold 19.36) · eBay $17.36 (last sold 16.00, 15.11, 24.69)",1,"589,891",,2026-05-12,
Powerglass 097/064 HR SFA,Shrouded Fable,$20.60,"NM $20.62 (last sold 19.00, 21.02, 20.00) · LP $17.00 (last sold 17.00) · eBay $19.82 (last sold 19.50, 19.99, 19.99)",1,"560,408",,2026-05-12,
Jellicent ex 168/086 SIR WHT,White Flare,$29.24,"NM $29.28 (last sold 26.99, 30.00, 32.99) · LP $26.05 (last sold 25.32, 25.44, 25.99) · HP $24.00 (last sold 24.00) · eBay $25.30 (last sold 26.99, 24.50, 25.00)",1,"642,285",,2026-05-12,
